SN,BBMP Zone,Ward Number,Ward Name,Date of identification as Containment zone,Total Number of positive cases,Containment Zone ID,Date of return to normal,Status
125,Yelahanka,3,Atturu,30-07-2020,1,Y-A-1043,12-08-2020,ACTIVE
126,Yelahanka,3,Atturu,30-07-2020,1,Y-A-1044,12-08-2020,ACTIVE
127,Yelahanka,3,Atturu,30-07-2020,2,Y-A-1045,12-08-2020,ACTIVE
128,Yelahanka,3,Atturu,30-07-2020,1,Y-A-1046,12-08-2020,ACTIVE
129,Yelahanka,3,Atturu,31-07-2020,1,Y-A-1099,13-08-2020,ACTIVE
130,Yelahanka,3,Atturu,31-07-2020,1,Y-A-1100,13-08-2020,ACTIVE
131,Yelahanka,3,Atturu,31-07-2020,1,Y-A-1101,13-08-2020,ACTIVE
132,Yelahanka,3,Atturu,31-07-2020,2,Y-A-1102,13-08-2020,ACTIVE
133,Yelahanka,3,Atturu,01-08-2020,1,Y-A-1147,14-08-2020,ACTIVE
134,Yelahanka,3,Atturu,01-08-2020,1,Y-A-1148,14-08-2020,ACTIVE
135,Yelahanka,3,Atturu,01-08-2020,1,Y-A-1149,14-08-2020,ACTIVE
136,Yelahanka,3,Atturu,01-08-2020,1,Y-A-1151,14-08-2020,ACTIVE
137,Yelahanka,3,Atturu,02-08-2020,1,Y-A-1195,15-08-2020,ACTIVE
138,Yelahanka,3,Atturu,02-08-2020,1,Y-A-1196,15-08-2020,ACTIVE
139,Yelahanka,3,Atturu,02-08-2020,1,Y-A-1197,15-08-2020,ACTIVE
140,Yelahanka,3,Atturu,02-08-2020,1,Y-A-1198,15-08-2020,ACTIVE
141,Yelahanka,3,Atturu,02-08-2020,3,Y-A-1199,15-08-2020,ACTIVE
142,Yelahanka,3,Atturu,02-08-2020,1,Y-A-1200,15-08-2020,ACTIVE
143,Yelahanka,3,Atturu,02-08-2020,1,Y-A-1201,15-08-2020,ACTIVE
144,Yelahanka,3,Atturu,20-07-2020,4,Y-A-566,02-08-2020,EXTENDED
145,Yelahanka,3,Atturu,21-07-2020,1,Y-A-606,03-08-2020,EXTENDED
146,Yelahanka,3,Atturu,21-07-2020,2,Y-A-607,03-08-2020,EXTENDED
147,Yelahanka,3,Atturu,21-07-2020,1,Y-A-608,03-08-2020,EXTENDED
148,Yelahanka,3,Atturu,22-07-2020,1,Y-A-648,04-08-2020,EXTENDED
149,Yelahanka,3,Atturu,22-07-2020,1,Y-A-649,04-08-2020,ACTIVE
150,Yelahanka,3,Atturu,22-07-2020,2,Y-A-650,04-08-2020,ACTIVE
151,Yelahanka,3,Atturu,22-07-2020,1,Y-A-651,04-08-2020,ACTIVE
152,Yelahanka,3,Atturu,22-07-2020,1,Y-A-652,04-08-2020,ACTIVE
153,Yelahanka,3,Atturu,22-07-2020,1,Y-A-654,04-08-2020,ACTIVE
154,Yelahanka,3,Atturu,22-07-2020,1,Y-A-655,04-08-2020,EXTENDED
155,Yelahanka,3,Atturu,22-07-2020,1,Y-A-656,04-08-2020,ACTIVE
156,Yelahanka,3,Atturu,23-07-2020,1,Y-A-694,05-08-2020,ACTIVE
157,Yelahanka,3,Atturu,23-07-2020,3,Y-A-696,05-08-2020,ACTIVE
