PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC
DB_LASTUPDATED_SET	S. No	Incident Location	District	State/UT	Date of incident	No. of deaths	Reason of death	Source	Date of publication	Link
SET_APRIL8	18	Lallaguda	Secunderabad	Andra Pradesh	March 31,2020	1	Withdrawal	New Indian Express	April 1,2020	https://www.newindianexpress.com/cities/hyderabad/2020/apr/01/one-more-suspected-starvation-death-three-alcoholics-die-in-hyderabad-2124205.html
SET_APRIL8	19	Kodungaloor	Thrissur	Kerala	March 29, 2020	1	Suicide, Withdrawal	New Indian Express	March 29, 2020	https://www.newindianexpress.com/states/kerala/2020/mar/29/two-tipplers-in-kerala-commit-suicide-upset-at-not-getting-liquor-during-covid-19-lockdown-2123056.html
SET_APRIL8	20	Alappuzha	Alappuzha	Kerala	March 29, 2020	1	\Withdrawal	New Indian Express	March 29, 2020	https://www.newindianexpress.com/states/kerala/2020/mar/29/two-tipplers-in-kerala-commit-suicide-upset-at-not-getting-liquor-during-covid-19-lockdown-2123056.html
SET_APRIL8	21	Vinayagapuram	Chennai	Tamil Nadu	March 31, 2020	1	Suicide, Withdrawal	Daily Thanthi	April 1,2020	https://www.dailythanthi.com/Districts/Chennai/2020/04/01044008/In-desperation-to-drink-alcohol-Jumping-from-the-bridge.vpf
SET_APRIL8	22	Cherpu town.	Thrissur	Kerala	March 30, 2020	1	Suicide, Withdrawal	Tribunal India	March 31, 2020	https://www.tribuneindia.com/news/nation/no-booze-8-commit-suicide-in-kerala-64002
SET_APRIL8	23	Atmakoor town	Mahbubnagar	Telangana	April 1,2020	1	Withdrawal	New Indian Express	April 2,2020	https://www.newindianexpress.com/states/telangana/2020/apr/02/three-persons-die-in-telangana-due-to-dearth-of-alcohol-amid-covid-19-lockdown-2124668.html
SET_APRIL8	24	Nachahalli	Wanaparthy	Telangana	April 1,2020	1	Withdrawal	New Indian Express	April 2,2020	https://www.newindianexpress.com/states/telangana/2020/apr/02/three-persons-die-in-telangana-due-to-dearth-of-alcohol-amid-covid-19-lockdown-2124668.html
SET_APRIL8	25			Telangana	April 1,2020	1	Suicide, Withdrawal	New Indian Express	April 2,2020	https://www.newindianexpress.com/states/telangana/2020/apr/02/three-persons-die-in-telangana-due-to-dearth-of-alcohol-amid-covid-19-lockdown-2124668.html
SET_APRIL8	1	Binaur village	Kanpur	UP	March 24, 2020	1	Suicide, fear of infection	Outlook	March 24, 2020	https://www.outlookindia.com/newsscroll/corona-scare-drives-youth-to-suicide-third-in-up/1778270
SET_APRIL8	2	Hapur	Hapur	UP	March 24, 2020	1	Suicide, fear of infection	Outlook	March 24, 2020	https://www.outlookindia.com/newsscroll/corona-scare-drives-youth-to-suicide-third-in-up/1778270
